,Conservatives,Labour,Liberal Democrats,SNP,Plaid Cymru,Greens,UKIP,Other,ID,time
Walsall North,0.5,0.43,0.02,0.0,0.0,0.0,0.06,0.0,E14001011,2017-06-09 02:53:34
Doncaster North,0.28,0.61,0.02,0.0,0.0,0.0,0.06,0.03,E14000669,2017-06-09 02:53:44
Epsom and Ewell,0.6,0.25,0.12,0.0,0.0,0.03,0.0,0.0,E14000694,2017-06-09 02:54:04
Glasgow Central,0.14,0.38,0.03,0.45,0.0,0.0,0.0,0.0,S14000029,2017-06-09 02:54:14
Clwyd West,0.48,0.4,0.03,0.0,0.1,0.0,0.0,0.0,W07000059,2017-06-09 02:54:24
Twickenham,0.38,0.09,0.53,0.0,0.0,0.0,0.0,0.0,E14001005,2017-06-09 02:54:35
Meriden,0.62,0.27,0.05,0.0,0.0,0.03,0.04,0.0,E14000812,2017-06-09 02:55:15
Bristol North West,0.42,0.51,0.05,0.0,0.0,0.02,0.0,0.0,E14000600,2017-06-09 02:55:25
Kenilworth and Southam,0.61,0.26,0.1,0.0,0.0,0.02,0.02,0.0,E14000767,2017-06-09 02:55:35
Kingston upon Hull West and Hessle,0.3,0.53,0.06,0.0,0.0,0.01,0.04,0.06,E14000773,2017-06-09 02:55:45
North West Durham,0.34,0.53,0.07,0.0,0.0,0.01,0.04,0.0,E14000856,2017-06-09 02:55:55
Bristol West,0.14,0.66,0.07,0.0,0.0,0.13,0.0,0.0,E14000602,2017-06-09 02:56:25
Ashford,0.59,0.3,0.05,0.0,0.0,0.02,0.04,0.0,E14000536,2017-06-09 02:56:45
"Birmingham, Erdington",0.38,0.58,0.02,0.0,0.0,0.02,0.0,0.0,E14000561,2017-06-09 02:56:55
The Wrekin,0.55,0.36,0.03,0.0,0.0,0.02,0.03,0.01,E14000992,2017-06-09 02:57:15
Nottingham East,0.22,0.72,0.03,0.0,0.0,0.02,0.02,0.0,E14000865,2017-06-09 02:58:05
Salford and Eccles,0.25,0.66,0.03,0.0,0.0,0.02,0.05,0.0,E14000911,2017-06-09 02:58:16
Salisbury,0.58,0.26,0.11,0.0,0.0,0.02,0.02,0.01,E14000912,2017-06-09 02:58:26
Glasgow North East,0.13,0.43,0.02,0.42,0.0,0.0,0.0,0.0,S14000032,2017-06-09 02:58:35
Cleethorpes,0.57,0.35,0.02,0.0,0.0,0.01,0.04,0.0,E14000643,2017-06-09 02:58:45
Norwich North,0.48,0.47,0.03,0.0,0.0,0.02,0.0,0.01,E14000863,2017-06-09 02:59:35
Ribble Valley,0.58,0.34,0.06,0.0,0.0,0.02,0.0,0.0,E14000894,2017-06-09 02:59:55
Wythenshawe and Sale East,0.3,0.62,0.03,0.0,0.0,0.01,0.03,0.0,E14001059,2017-06-09 03:00:05
Chesham and Amersham,0.61,0.21,0.13,0.0,0.0,0.03,0.03,0.0,E14000631,2017-06-09 03:00:35
Copeland,0.49,0.45,0.03,0.0,0.0,0.0,0.02,0.0,E14000647,2017-06-09 03:01:26
Cambridge,0.16,0.52,0.29,0.0,0.0,0.02,0.0,0.0,E14000617,2017-06-09 03:01:35
Swansea East,0.26,0.63,0.02,0.0,0.05,0.01,0.03,0.0,W07000048,2017-06-09 03:02:15
Wimbledon,0.46,0.36,0.14,0.0,0.0,0.02,0.01,0.0,E14001040,2017-06-09 03:03:25
Beaconsfield,0.65,0.21,0.08,0.0,0.0,0.02,0.03,0.0,E14000550,2017-06-09 03:03:35
Gosport,0.62,0.27,0.05,0.0,0.0,0.02,0.04,0.01,E14000713,2017-06-09 03:04:55
The Cotswolds,0.61,0.18,0.16,0.0,0.0,0.03,0.02,0.0,E14000991,2017-06-09 03:05:05
South Dorset,0.56,0.34,0.06,0.0,0.0,0.04,0.0,0.0,E14000936,2017-06-09 03:05:25
Manchester Central,0.14,0.77,0.03,0.0,0.0,0.02,0.03,0.0,E14000807,2017-06-09 03:05:35
Glasgow North,0.15,0.34,0.03,0.38,0.0,0.1,0.0,0.0,S14000031,2017-06-09 03:05:45
"Birmingham, Ladywood",0.13,0.83,0.03,0.0,0.0,0.01,0.0,0.0,E14000564,2017-06-09 03:06:05
Chippenham,0.55,0.2,0.26,0.0,0.0,0.0,0.0,0.0,E14000635,2017-06-09 03:07:16
Worcester,0.48,0.43,0.03,0.0,0.0,0.02,0.03,0.0,E14001052,2017-06-09 03:07:26
"Inverness, Nairn, Badenoch and Strathspey",0.3,0.16,0.12,0.4,0.0,0.0,0.0,0.01,S14000039,2017-06-09 03:07:35
East Lothian,0.3,0.36,0.03,0.31,0.0,0.0,0.0,0.01,S14000020,2017-06-09 03:07:46
Islington North,0.12,0.73,0.09,0.0,0.0,0.04,0.01,0.01,E14000763,2017-06-09 03:08:06
Sedgefield,0.39,0.53,0.02,0.0,0.0,0.02,0.04,0.0,E14000915,2017-06-09 03:08:45
Aberdeen South,0.42,0.21,0.06,0.32,0.0,0.0,0.0,0.0,S14000002,2017-06-09 03:09:16
"Ayr, Carrick and Cumnock",0.4,0.24,0.02,0.34,0.0,0.0,0.0,0.0,S14000006,2017-06-09 03:09:26
North West Norfolk,0.6,0.32,0.03,0.0,0.0,0.02,0.03,0.0,E14000859,2017-06-09 03:09:46
Clacton,0.61,0.25,0.02,0.0,0.0,0.02,0.08,0.02,E14000642,2017-06-09 03:09:56
Ellesmere Port and Neston,0.37,0.59,0.02,0.0,0.0,0.01,0.02,0.0,E14000688,2017-06-09 03:10:06
Bolton South East,0.3,0.61,0.02,0.0,0.0,0.01,0.07,0.0,E14000579,2017-06-09 03:10:16
Isle of Wight,0.51,0.23,0.04,0.0,0.0,0.17,0.03,0.02,E14000762,2017-06-09 03:10:27
Cardiff North,0.42,0.5,0.03,0.0,0.03,0.0,0.01,0.0,W07000051,2017-06-09 03:10:46
Hayes and Harlington,0.29,0.66,0.01,0.0,0.0,0.01,0.02,0.0,E14000737,2017-06-09 03:11:26
South Ribble,0.53,0.39,0.04,0.0,0.0,0.01,0.02,0.01,E14000943,2017-06-09 03:11:36
Norwich South,0.31,0.61,0.06,0.0,0.0,0.03,0.0,0.0,E14000864,2017-06-09 03:11:46
Gravesham,0.56,0.36,0.02,0.0,0.0,0.02,0.04,0.0,E14000715,2017-06-09 03:11:56
Greenwich and Woolwich,0.25,0.64,0.07,0.0,0.0,0.03,0.0,0.0,E14000718,2017-06-09 03:12:06
Lewes,0.5,0.11,0.39,0.0,0.0,0.0,0.0,0.0,E14000786,2017-06-09 03:12:16
Cannock Chase,0.55,0.37,0.02,0.0,0.0,0.02,0.04,0.0,E14000618,2017-06-09 03:12:26
Redcar,0.33,0.56,0.07,0.0,0.0,0.0,0.05,0.0,E14000891,2017-06-09 03:12:36
Airdrie and Shotts,0.23,0.37,0.02,0.38,0.0,0.0,0.0,0.0,S14000003,2017-06-09 03:12:46
Glasgow South,0.19,0.37,0.03,0.41,0.0,0.0,0.0,0.0,S14000034,2017-06-09 03:12:56
Perth and North Perthshire,0.42,0.1,0.05,0.42,0.0,0.0,0.0,0.0,S14000054,2017-06-09 03:13:06
Dartford,0.58,0.33,0.03,0.0,0.0,0.02,0.05,0.0,E14000659,2017-06-09 03:13:17
Leyton and Wanstead,0.21,0.7,0.06,0.0,0.0,0.03,0.0,0.0,E14000790,2017-06-09 03:13:27
Kirkcaldy and Cowdenbeath,0.23,0.37,0.02,0.36,0.0,0.0,0.01,0.0,S14000041,2017-06-09 03:13:36
Suffolk Coastal,0.58,0.3,0.07,0.0,0.0,0.03,0.0,0.01,E14000981,2017-06-09 03:13:46
Edinburgh East,0.19,0.35,0.04,0.42,0.0,0.0,0.0,0.0,S14000022,2017-06-09 03:14:06
Peterborough,0.47,0.48,0.03,0.0,0.0,0.02,0.0,0.0,E14000878,2017-06-09 03:14:16
Telford,0.49,0.47,0.02,0.0,0.0,0.02,0.0,0.0,E14000989,2017-06-09 03:14:26
Stafford,0.55,0.4,0.03,0.0,0.0,0.02,0.0,0.0,E14000965,2017-06-09 03:14:36
Great Yarmouth,0.54,0.36,0.02,0.0,0.0,0.01,0.06,0.0,E14000717,2017-06-09 03:14:46
Bedford,0.45,0.47,0.06,0.0,0.0,0.02,0.0,0.0,E14000552,2017-06-09 03:14:56
New Forest West,0.67,0.2,0.1,0.0,0.0,0.03,0.0,0.01,E14000828,2017-06-09 03:15:06
Hornchurch and Upminster,0.6,0.29,0.02,0.0,0.0,0.02,0.06,0.01,E14000751,2017-06-09 03:15:16
Bath,0.36,0.15,0.47,0.0,0.0,0.02,0.0,0.0,E14000547,2017-06-09 03:15:26
Tonbridge and Malling,0.64,0.22,0.07,0.0,0.0,0.04,0.03,0.0,E14000997,2017-06-09 03:15:46
Lewisham East,0.23,0.68,0.04,0.0,0.0,0.02,0.02,0.01,E14000787,2017-06-09 03:16:36
Reigate,0.57,0.25,0.11,0.0,0.0,0.04,0.03,0.0,E14000893,2017-06-09 03:16:46
Aldridge-Brownhills,0.65,0.3,0.03,0.0,0.0,0.0,0.0,0.02,E14000531,2017-06-09 03:16:56
Sittingbourne and Sheppey,0.6,0.31,0.03,0.0,0.0,0.01,0.0,0.05,E14000927,2017-06-09 03:17:06
"Manchester, Withington",0.1,0.72,0.16,0.0,0.0,0.02,0.0,0.0,E14000809,2017-06-09 03:17:26
Bradford South,0.38,0.54,0.01,0.0,0.0,0.01,0.04,0.01,E14000588,2017-06-09 03:18:06
Merthyr Tydfil and Rhymney,0.18,0.67,0.02,0.0,0.08,0.0,0.04,0.0,W07000071,2017-06-09 03:18:16
South Derbyshire,0.59,0.36,0.04,0.0,0.0,0.02,0.0,0.0,E14000935,2017-06-09 03:19:17
Leicester West,0.31,0.61,0.02,0.0,0.0,0.02,0.04,0.0,E14000784,2017-06-09 03:19:27
Selby and Ainsty,0.59,0.34,0.04,0.0,0.0,0.0,0.03,0.0,E14000917,2017-06-09 03:20:16
North Wiltshire,0.6,0.18,0.18,0.0,0.0,0.02,0.02,0.01,E14000860,2017-06-09 03:20:27
Easington,0.23,0.64,0.01,0.0,0.0,0.01,0.05,0.06,E14000677,2017-06-09 03:20:47
Leeds West,0.26,0.64,0.02,0.0,0.0,0.02,0.04,0.01,E14000781,2017-06-09 03:20:56
North West Cambridgeshire,0.59,0.3,0.05,0.0,0.0,0.02,0.04,0.0,E14000855,2017-06-09 03:21:07
"Birmingham, Selly Oak",0.32,0.63,0.03,0.0,0.0,0.02,0.0,0.0,E14000567,2017-06-09 03:21:16
Gloucester,0.5,0.4,0.05,0.0,0.0,0.01,0.03,0.0,E14000712,2017-06-09 03:21:27
Maidenhead,0.65,0.19,0.11,0.0,0.0,0.02,0.02,0.02,E14000803,2017-06-09 03:21:36
Middlesbrough South and East Cleveland,0.5,0.48,0.03,0.0,0.0,0.0,0.0,0.0,E14000820,2017-06-09 03:21:47
Louth and Horncastle,0.64,0.27,0.04,0.0,0.0,0.0,0.05,0.01,E14000798,2017-06-09 03:21:57
North Norfolk,0.42,0.1,0.48,0.0,0.0,0.0,0.0,0.0,E14000848,2017-06-09 03:22:07
Glasgow South West,0.16,0.4,0.02,0.41,0.0,0.0,0.01,0.0,S14000035,2017-06-09 03:22:17
Hackney North and Stoke Newington,0.13,0.75,0.07,0.0,0.0,0.05,0.0,0.01,E14000720,2017-06-09 03:22:27
Cardiff South and Penarth,0.3,0.6,0.03,0.0,0.04,0.01,0.02,0.0,W07000080,2017-06-09 03:23:37
Mole Valley,0.62,0.14,0.19,0.0,0.0,0.03,0.02,0.0,E14000824,2017-06-09 03:23:47
South West Wiltshire,0.6,0.26,0.1,0.0,0.0,0.03,0.0,0.01,E14000954,2017-06-09 03:23:57
Bolton West,0.48,0.46,0.03,0.0,0.0,0.0,0.03,0.0,E14000580,2017-06-09 03:24:47
Penistone and Stocksbridge,0.43,0.46,0.04,0.0,0.0,0.0,0.07,0.0,E14000876,2017-06-09 03:24:57
Woking,0.54,0.24,0.18,0.0,0.0,0.02,0.02,0.0,E14001047,2017-06-09 03:25:07
Bognor Regis and Littlehampton,0.59,0.25,0.06,0.0,0.0,0.02,0.04,0.04,E14000576,2017-06-09 03:25:17
Harrow West,0.34,0.61,0.02,0.0,0.0,0.01,0.01,0.0,E14000732,2017-06-09 03:25:37
Westmorland and Lonsdale,0.44,0.09,0.46,0.0,0.0,0.0,0.0,0.01,E14001037,2017-06-09 03:25:47
Portsmouth South,0.38,0.41,0.17,0.0,0.0,0.02,0.02,0.0,E14000884,2017-06-09 03:26:07
"Manchester, Gorton",0.07,0.76,0.06,0.0,0.0,0.02,0.02,0.06,E14000808,2017-06-09 03:26:27
Sutton and Cheam,0.51,0.2,0.27,0.0,0.0,0.02,0.0,0.0,E14000984,2017-06-09 03:26:37
Exeter,0.33,0.62,0.03,0.0,0.0,0.02,0.0,0.0,E14000698,2017-06-09 03:26:47
Romsey and Southampton North,0.57,0.19,0.21,0.0,0.0,0.02,0.0,0.0,E14000901,2017-06-09 03:26:57
East Hampshire,0.64,0.17,0.15,0.0,0.0,0.03,0.0,0.01,E14000680,2017-06-09 03:27:07
"Coatbridge, Chryston and Bellshill",0.16,0.43,0.02,0.39,0.0,0.0,0.0,0.0,S14000011,2017-06-09 03:27:47
Lichfield,0.64,0.29,0.05,0.0,0.0,0.03,0.0,0.0,E14000791,2017-06-09 03:28:17
"Lewisham, Deptford",0.14,0.77,0.05,0.0,0.0,0.03,0.0,0.01,E14000789,2017-06-09 03:28:27
Hitchin and Harpenden,0.53,0.33,0.11,0.0,0.0,0.02,0.0,0.01,E14000749,2017-06-09 03:28:57
Walsall South,0.37,0.57,0.01,0.0,0.0,0.0,0.04,0.0,E14001012,2017-06-09 03:29:07
Leeds Central,0.2,0.7,0.02,0.0,0.0,0.02,0.04,0.0,E14000777,2017-06-09 03:29:27
Canterbury,0.45,0.45,0.08,0.0,0.0,0.02,0.0,0.0,E14000619,2017-06-09 03:29:37
Eastbourne,0.44,0.08,0.47,0.0,0.0,0.01,0.0,0.0,E14000684,2017-06-09 03:30:07
West Lancashire,0.37,0.59,0.02,0.0,0.0,0.01,0.0,0.0,E14001033,2017-06-09 03:30:17
Boston and Skegness,0.64,0.25,0.02,0.0,0.0,0.01,0.08,0.01,E14000582,2017-06-09 03:30:57
Oldham East and Saddleworth,0.37,0.54,0.04,0.0,0.0,0.0,0.05,0.0,E14000870,2017-06-09 03:31:07
Witney,0.56,0.21,0.2,0.0,0.0,0.02,0.02,0.0,E14001046,2017-06-09 03:31:57
Barking,0.22,0.68,0.01,0.0,0.0,0.02,0.06,0.0,E14000540,2017-06-09 03:32:07
Lewisham West and Penge,0.23,0.67,0.06,0.0,0.0,0.02,0.01,0.01,E14000788,2017-06-09 03:32:37
Warwick and Leamington,0.44,0.47,0.05,0.0,0.0,0.02,0.02,0.0,E14001019,2017-06-09 03:33:07
Bournemouth West,0.54,0.36,0.07,0.0,0.0,0.03,0.0,0.01,E14000585,2017-06-09 03:33:18
North Devon,0.46,0.13,0.38,0.0,0.0,0.01,0.02,0.0,E14000838,2017-06-09 03:33:27
Warrington North,0.37,0.56,0.02,0.0,0.0,0.01,0.03,0.0,E14001017,2017-06-09 03:33:38
West Ham,0.16,0.77,0.03,0.0,0.0,0.02,0.02,0.01,E14001032,2017-06-09 03:33:47
Dagenham and Rainham,0.4,0.5,0.01,0.0,0.0,0.01,0.07,0.01,E14000657,2017-06-09 03:34:37
Forest of Dean,0.54,0.36,0.04,0.0,0.0,0.02,0.02,0.01,E14000705,2017-06-09 03:34:48
Windsor,0.64,0.23,0.1,0.0,0.0,0.03,0.0,0.0,E14001042,2017-06-09 03:34:57
"Birmingham, Hodge Hill",0.14,0.81,0.02,0.0,0.0,0.01,0.02,0.0,E14000563,2017-06-09 03:35:58
Carshalton and Wallington,0.38,0.18,0.41,0.0,0.0,0.01,0.0,0.01,E14000621,2017-06-09 03:36:08
Morley and Outwood,0.51,0.47,0.03,0.0,0.0,0.0,0.0,0.0,E14000826,2017-06-09 03:36:18
Kingston and Surbiton,0.38,0.15,0.45,0.0,0.0,0.01,0.01,0.0,E14000770,2017-06-09 03:36:28
Carmarthen West and Pembrokeshire South,0.47,0.4,0.02,0.0,0.09,0.0,0.02,0.0,W07000066,2017-06-09 03:36:58
Harborough,0.52,0.31,0.13,0.0,0.0,0.02,0.02,0.0,E14000728,2017-06-09 03:37:08
North Dorset,0.65,0.19,0.14,0.0,0.0,0.03,0.0,0.0,E14000839,2017-06-09 03:37:18
Linlithgow and East Falkirk,0.29,0.31,0.03,0.36,0.0,0.0,0.0,0.0,S14000043,2017-06-09 03:37:28
"Caithness, Sutherland and Easter Ross",0.23,0.12,0.36,0.29,0.0,0.0,0.0,0.0,S14000009,2017-06-09 03:37:48
Bournemouth East,0.52,0.36,0.06,0.0,0.0,0.02,0.03,0.01,E14000584,2017-06-09 03:38:18
Derby North,0.44,0.48,0.05,0.0,0.0,0.0,0.02,0.0,E14000662,2017-06-09 03:38:48
Harrow East,0.49,0.46,0.03,0.0,0.0,0.02,0.0,0.0,E14000731,2017-06-09 03:39:38
Derbyshire Dales,0.6,0.31,0.06,0.0,0.0,0.02,0.0,0.01,E14000664,2017-06-09 03:39:48
"Cumbernauld, Kilsyth and Kirkintilloch East",0.18,0.34,0.03,0.44,0.0,0.0,0.01,0.0,S14000012,2017-06-09 03:40:28
Bexleyheath and Crayford,0.56,0.36,0.03,0.0,0.0,0.01,0.04,0.01,E14000558,2017-06-09 03:41:38
"Ruislip, Northwood and Pinner",0.57,0.31,0.07,0.0,0.0,0.02,0.02,0.0,E14000906,2017-06-09 03:41:48
"Birmingham, Hall Green",0.15,0.78,0.06,0.0,0.0,0.02,0.0,0.0,E14000562,2017-06-09 03:42:08
Leicester East,0.24,0.67,0.03,0.0,0.0,0.02,0.0,0.04,E14000782,2017-06-09 03:42:28
Thurrock,0.4,0.39,0.02,0.0,0.0,0.0,0.2,0.0,E14000995,2017-06-09 03:42:38
Hammersmith,0.28,0.64,0.05,0.0,0.0,0.02,0.01,0.0,E14000726,2017-06-09 03:42:58
South Suffolk,0.6,0.28,0.06,0.0,0.0,0.03,0.03,0.0,E14000946,2017-06-09 03:43:38
Beverley and Holderness,0.58,0.33,0.05,0.0,0.0,0.01,0.0,0.02,E14000556,2017-06-09 03:43:58
North East Somerset,0.54,0.35,0.08,0.0,0.0,0.02,0.0,0.01,E14000846,2017-06-09 03:44:18
South Northamptonshire,0.62,0.27,0.06,0.0,0.0,0.02,0.02,0.0,E14000942,2017-06-09 03:44:28
Dudley South,0.56,0.36,0.02,0.0,0.0,0.01,0.05,0.0,E14000672,2017-06-09 03:44:48
Chesterfield,0.35,0.55,0.05,0.0,0.0,0.02,0.03,0.0,E14000632,2017-06-09 03:44:58
Waveney,0.54,0.37,0.02,0.0,0.0,0.02,0.04,0.01,E14001022,2017-06-09 03:47:18
City of Chester,0.4,0.57,0.03,0.0,0.0,0.0,0.0,0.0,E14000640,2017-06-09 03:47:59
Saffron Walden,0.62,0.21,0.14,0.0,0.0,0.0,0.03,0.0,E14000910,2017-06-09 03:48:09
Slough,0.32,0.63,0.02,0.0,0.0,0.0,0.02,0.01,E14000930,2017-06-09 03:48:19
Stalybridge and Hyde,0.38,0.57,0.02,0.0,0.0,0.02,0.0,0.0,E14000967,2017-06-09 03:48:29
Oldham West and Royton,0.28,0.65,0.02,0.0,0.0,0.01,0.04,0.0,E14000871,2017-06-09 03:48:39
Newark,0.63,0.3,0.05,0.0,0.0,0.0,0.03,0.0,E14000829,2017-06-09 03:48:49
Brent Central,0.2,0.73,0.05,0.0,0.0,0.02,0.01,0.0,E14000591,2017-06-09 03:49:49
Edinburgh West,0.22,0.15,0.34,0.29,0.0,0.0,0.0,0.0,S14000026,2017-06-09 03:50:19
Vauxhall,0.19,0.57,0.21,0.0,0.0,0.02,0.0,0.01,E14001008,2017-06-09 03:51:09
Bassetlaw,0.43,0.53,0.02,0.0,0.0,0.0,0.0,0.02,E14000546,2017-06-09 03:52:19
Chelsea and Fulham,0.53,0.33,0.11,0.0,0.0,0.02,0.01,0.0,E14000629,2017-06-09 03:52:29
Erith and Thamesmead,0.35,0.58,0.02,0.0,0.0,0.01,0.04,0.01,E14000696,2017-06-09 03:54:09
Rotherham,0.26,0.56,0.05,0.0,0.0,0.0,0.09,0.04,E14000904,2017-06-09 03:54:29
Wentworth and Dearne,0.31,0.65,0.04,0.0,0.0,0.0,0.0,0.0,E14001028,2017-06-09 03:55:09
Feltham and Heston,0.32,0.61,0.03,0.0,0.0,0.02,0.03,0.0,E14000701,2017-06-09 03:55:19
Braintree,0.63,0.28,0.04,0.0,0.0,0.02,0.04,0.0,E14000590,2017-06-09 03:55:39
Faversham and Mid Kent,0.61,0.26,0.06,0.0,0.0,0.03,0.03,0.0,E14000700,2017-06-09 03:56:19
Central Suffolk and North Ipswich,0.6,0.3,0.04,0.0,0.0,0.03,0.03,0.0,E14000624,2017-06-09 03:56:39
Altrincham and Sale West,0.51,0.39,0.08,0.0,0.0,0.02,0.0,0.01,E14000532,2017-06-09 03:56:49
Stone,0.63,0.28,0.04,0.0,0.0,0.01,0.03,0.0,E14000975,2017-06-09 03:56:59
Thornbury and Yate,0.55,0.12,0.31,0.0,0.0,0.01,0.0,0.0,E14000994,2017-06-09 03:57:19
Maidstone and The Weald,0.56,0.22,0.16,0.0,0.0,0.02,0.03,0.0,E14000804,2017-06-09 03:57:29
Sleaford and North Hykeham,0.64,0.26,0.04,0.0,0.0,0.02,0.03,0.01,E14000929,2017-06-09 03:57:39
Weaver Vale,0.44,0.52,0.03,0.0,0.0,0.02,0.0,0.0,E14001024,2017-06-09 03:57:50
Lancaster and Fleetwood,0.41,0.55,0.02,0.0,0.0,0.02,0.0,0.0,E14000776,2017-06-09 03:57:59
Witham,0.64,0.26,0.06,0.0,0.0,0.04,0.0,0.0,E14001045,2017-06-09 03:58:09
Bexhill and Battle,0.62,0.25,0.08,0.0,0.0,0.02,0.03,0.0,E14000557,2017-06-09 03:58:19
"Birmingham, Perry Barr",0.26,0.68,0.02,0.0,0.0,0.01,0.0,0.02,E14000566,2017-06-09 03:58:29
Stretford and Urmston,0.28,0.67,0.02,0.0,0.0,0.01,0.02,0.0,E14000979,2017-06-09 03:58:39
Richmond (Yorks),0.64,0.23,0.06,0.0,0.0,0.03,0.0,0.04,E14000895,2017-06-09 03:58:59
Haltemprice and Howden,0.61,0.31,0.05,0.0,0.0,0.01,0.0,0.02,E14000724,2017-06-09 03:59:20
Shrewsbury and Atcham,0.5,0.39,0.07,0.0,0.0,0.02,0.02,0.0,E14000926,2017-06-09 03:59:30
"Berwickshire, Roxburgh and Selkirk",0.54,0.09,0.05,0.33,0.0,0.0,0.0,0.0,S14000008,2017-06-09 03:59:39
West Aberdeenshire and Kincardine,0.48,0.11,0.09,0.32,0.0,0.0,0.0,0.0,S14000058,2017-06-09 04:00:09
Stirling,0.37,0.22,0.03,0.37,0.0,0.0,0.0,0.01,S14000057,2017-06-09 04:00:39
Scunthorpe,0.44,0.52,0.01,0.0,0.0,0.0,0.03,0.0,E14000914,2017-06-09 04:01:10
Croydon Central,0.42,0.52,0.02,0.0,0.0,0.01,0.02,0.01,E14000654,2017-06-09 04:02:10
Spelthorne,0.57,0.3,0.06,0.0,0.0,0.02,0.05,0.0,E14000959,2017-06-09 04:02:20
Lincoln,0.45,0.48,0.03,0.0,0.0,0.01,0.03,0.01,E14000792,2017-06-09 04:03:40
North East Cambridgeshire,0.64,0.24,0.04,0.0,0.0,0.02,0.04,0.01,E14000842,2017-06-09 04:03:50
Brent North,0.33,0.63,0.03,0.0,0.0,0.01,0.0,0.0,E14000592,2017-06-09 04:04:00
Warrington South,0.44,0.48,0.05,0.0,0.0,0.0,0.0,0.02,E14001018,2017-06-09 04:04:10
Leeds North West,0.2,0.44,0.35,0.0,0.0,0.01,0.0,0.0,E14000780,2017-06-09 04:04:30
Welwyn Hatfield,0.51,0.37,0.07,0.0,0.0,0.02,0.03,0.0,E14001027,2017-06-09 04:07:10
Luton South,0.32,0.62,0.02,0.0,0.0,0.01,0.02,0.0,E14000801,2017-06-09 04:07:20
