,Conservatives,Labour,Liberal Democrats,SNP,Plaid Cymru,Greens,UKIP,Other,ID,time
Bromley and Chislehurst,0.54,0.33,0.07,0.0,0.0,0.02,0.03,0.0,E14000604,2017-06-09 04:07:30
Congleton,0.57,0.34,0.05,0.0,0.0,0.02,0.02,0.0,E14000646,2017-06-09 04:07:40
Penrith and The Border,0.6,0.26,0.08,0.0,0.0,0.02,0.02,0.01,E14000877,2017-06-09 04:07:50
Huddersfield,0.33,0.6,0.03,0.0,0.0,0.03,0.0,0.01,E14000756,2017-06-09 04:08:00
Rossendale and Darwen,0.51,0.44,0.03,0.0,0.0,0.02,0.0,0.0,E14000902,2017-06-09 04:08:10
Central Ayrshire,0.34,0.26,0.02,0.37,0.0,0.0,0.0,0.0,S14000010,2017-06-09 04:08:20
Aylesbury,0.55,0.3,0.1,0.0,0.0,0.02,0.02,0.01,E14000538,2017-06-09 04:08:30
Eddisbury,0.57,0.34,0.06,0.0,0.0,0.02,0.02,0.0,E14000686,2017-06-09 04:10:00
South West Devon,0.6,0.3,0.05,0.0,0.0,0.02,0.03,0.0,E14000950,2017-06-09 04:11:00
Daventry,0.64,0.25,0.07,0.0,0.0,0.02,0.03,0.0,E14000660,2017-06-09 04:11:10
Edinburgh South,0.2,0.55,0.03,0.22,0.0,0.0,0.0,0.0,S14000024,2017-06-09 04:11:20
Motherwell and Wishaw,0.2,0.38,0.02,0.38,0.0,0.0,0.01,0.0,S14000047,2017-06-09 04:11:30
South West Surrey,0.56,0.13,0.1,0.0,0.0,0.0,0.02,0.2,E14000953,2017-06-09 04:12:40
"Ross, Skye and Lochaber",0.25,0.12,0.21,0.4,0.0,0.0,0.0,0.02,S14000055,2017-06-09 04:12:50
South Thanet,0.51,0.38,0.03,0.0,0.0,0.02,0.06,0.01,E14000948,2017-06-09 04:13:20
Banbury,0.54,0.34,0.06,0.0,0.0,0.02,0.03,0.02,E14000539,2017-06-09 04:13:50
Brigg and Goole,0.6,0.33,0.02,0.0,0.0,0.01,0.04,0.0,E14000596,2017-06-09 04:14:00
Reading East,0.42,0.49,0.06,0.0,0.0,0.02,0.0,0.01,E14000889,2017-06-09 04:14:50
Poole,0.58,0.29,0.09,0.0,0.0,0.03,0.0,0.01,E14000881,2017-06-09 04:15:20
York Outer,0.51,0.37,0.1,0.0,0.0,0.02,0.0,0.0,E14001062,2017-06-09 04:17:11
North Herefordshire,0.62,0.19,0.12,0.0,0.0,0.06,0.0,0.02,E14000847,2017-06-09 04:17:31
Bradford East,0.2,0.65,0.02,0.0,0.0,0.01,0.03,0.09,E14000587,2017-06-09 04:17:41
Mansfield,0.47,0.44,0.01,0.0,0.0,0.0,0.05,0.02,E14000810,2017-06-09 04:18:01
Broxtowe,0.47,0.45,0.04,0.0,0.0,0.01,0.03,0.0,E14000607,2017-06-09 04:18:41
Rochester and Strood,0.54,0.36,0.02,0.0,0.0,0.02,0.05,0.0,E14000898,2017-06-09 04:18:51
South West Hertfordshire,0.58,0.26,0.12,0.0,0.0,0.03,0.02,0.0,E14000951,2017-06-09 04:19:01
Edinburgh South West,0.33,0.27,0.04,0.36,0.0,0.0,0.0,0.0,S14000025,2017-06-09 04:19:21
Bolsover,0.41,0.52,0.03,0.0,0.0,0.0,0.05,0.0,E14000577,2017-06-09 04:19:51
Gillingham and Rainham,0.55,0.36,0.03,0.0,0.0,0.01,0.04,0.0,E14000711,2017-06-09 04:20:01
Cheltenham,0.47,0.1,0.42,0.0,0.0,0.02,0.0,0.0,E14000630,2017-06-09 04:20:41
Kingswood,0.55,0.4,0.04,0.0,0.0,0.02,0.0,0.0,E14000774,2017-06-09 04:20:51
Corby,0.49,0.45,0.03,0.0,0.0,0.01,0.02,0.0,E14000648,2017-06-09 04:21:21
Chatham and Aylesford,0.57,0.34,0.02,0.0,0.0,0.01,0.05,0.0,E14000626,2017-06-09 04:21:31
Old Bexley and Sidcup,0.62,0.29,0.03,0.0,0.0,0.02,0.03,0.01,E14000869,2017-06-09 04:21:41
Blyth Valley,0.37,0.56,0.05,0.0,0.0,0.02,0.0,0.0,E14000575,2017-06-09 04:21:51
Tatton,0.59,0.28,0.09,0.0,0.0,0.02,0.0,0.02,E14000987,2017-06-09 04:22:01
Holborn and St Pancras,0.18,0.7,0.07,0.0,0.0,0.03,0.01,0.0,E14000750,2017-06-09 04:22:11
Gordon,0.41,0.12,0.12,0.36,0.0,0.0,0.0,0.0,S14000037,2017-06-09 04:22:21
Milton Keynes South,0.48,0.45,0.03,0.0,0.0,0.02,0.03,0.0,E14000822,2017-06-09 04:22:33
Mid Dorset and North Poole,0.59,0.13,0.28,0.0,0.0,0.0,0.0,0.0,E14000815,2017-06-09 04:23:41
Denton and Reddish,0.28,0.64,0.02,0.0,0.0,0.01,0.04,0.01,E14000661,2017-06-09 04:24:01
Morecambe and Lunesdale,0.48,0.45,0.04,0.0,0.0,0.01,0.03,0.0,E14000825,2017-06-09 04:24:21
Elmet and Rothwell,0.54,0.38,0.04,0.0,0.0,0.02,0.0,0.02,E14000689,2017-06-09 04:25:31
Enfield North,0.37,0.58,0.02,0.0,0.0,0.01,0.02,0.0,E14000691,2017-06-09 04:25:41
Colne Valley,0.46,0.48,0.04,0.0,0.0,0.02,0.0,0.0,E14000645,2017-06-09 04:26:21
Hazel Grove,0.45,0.2,0.33,0.0,0.0,0.01,0.0,0.0,E14000738,2017-06-09 04:27:21
East Yorkshire,0.58,0.3,0.04,0.0,0.0,0.02,0.04,0.02,E14000683,2017-06-09 04:28:02
Mid Derbyshire,0.59,0.36,0.04,0.0,0.0,0.02,0.0,0.0,E14000814,2017-06-09 04:29:02
Ludlow,0.63,0.24,0.11,0.0,0.0,0.02,0.0,0.0,E14000799,2017-06-09 04:30:02
Northampton North,0.47,0.45,0.02,0.0,0.0,0.02,0.04,0.0,E14000861,2017-06-09 04:32:02
Taunton Deane,0.53,0.15,0.28,0.0,0.0,0.02,0.02,0.0,E14000988,2017-06-09 04:32:12
Camberwell and Peckham,0.13,0.78,0.06,0.0,0.0,0.03,0.0,0.01,E14000615,2017-06-09 04:32:42
Northampton South,0.47,0.44,0.03,0.0,0.0,0.02,0.04,0.0,E14000862,2017-06-09 04:33:02
Halifax,0.42,0.53,0.02,0.0,0.0,0.0,0.03,0.0,E14000723,2017-06-09 04:33:22
Bridgwater and West Somerset,0.55,0.29,0.11,0.0,0.0,0.02,0.04,0.0,E14000595,2017-06-09 04:33:42
Macclesfield,0.53,0.37,0.06,0.0,0.0,0.02,0.0,0.02,E14000802,2017-06-09 04:34:32
"Liverpool, Walton",0.09,0.86,0.02,0.0,0.0,0.01,0.0,0.03,E14000794,2017-06-09 04:34:42
Wells,0.5,0.12,0.38,0.0,0.0,0.0,0.0,0.01,E14001026,2017-06-09 04:35:42
North Shropshire,0.6,0.31,0.05,0.0,0.0,0.03,0.0,0.0,E14000849,2017-06-09 04:36:02
Meon Valley,0.66,0.18,0.11,0.0,0.0,0.02,0.03,0.0,E14000811,2017-06-09 04:39:52
Leeds North East,0.31,0.63,0.04,0.0,0.0,0.01,0.0,0.01,E14000779,2017-06-09 04:40:12
Halesowen and Rowley Regis,0.52,0.4,0.02,0.0,0.0,0.01,0.05,0.0,E14000722,2017-06-09 04:42:12
"Brighton, Kemptown",0.38,0.58,0.03,0.0,0.0,0.0,0.0,0.0,E14000597,2017-06-09 04:42:32
Barrow and Furness,0.47,0.48,0.03,0.0,0.0,0.01,0.02,0.0,E14000543,2017-06-09 04:42:42
Cheadle,0.45,0.19,0.36,0.0,0.0,0.0,0.0,0.0,E14000627,2017-06-09 04:43:33
North Somerset,0.54,0.27,0.1,0.0,0.0,0.03,0.0,0.06,E14000850,2017-06-09 04:43:53
South East Cambridgeshire,0.53,0.28,0.19,0.0,0.0,0.0,0.0,0.0,E14000937,2017-06-09 04:44:52
Skipton and Ripon,0.63,0.28,0.0,0.0,0.0,0.06,0.0,0.03,E14000928,2017-06-09 04:45:03
Wantage,0.54,0.27,0.14,0.0,0.0,0.02,0.02,0.0,E14001015,2017-06-09 04:47:03
North East Derbyshire,0.49,0.44,0.03,0.0,0.0,0.01,0.03,0.0,E14000843,2017-06-09 04:47:33
North Thanet,0.56,0.34,0.03,0.0,0.0,0.02,0.04,0.0,E14000852,2017-06-09 04:47:43
Finchley and Golders Green,0.47,0.44,0.07,0.0,0.0,0.02,0.01,0.0,E14000703,2017-06-09 04:48:03
Camborne and Redruth,0.48,0.44,0.06,0.0,0.0,0.02,0.0,0.0,E14000616,2017-06-09 04:48:53
Broadland,0.58,0.3,0.08,0.0,0.0,0.02,0.03,0.0,E14000603,2017-06-09 04:49:23
Tiverton and Honiton,0.61,0.27,0.08,0.0,0.0,0.04,0.0,0.0,E14000996,2017-06-09 04:50:23
Worthing West,0.55,0.33,0.06,0.0,0.0,0.03,0.03,0.0,E14001055,2017-06-09 04:50:43
Sherwood,0.52,0.42,0.02,0.0,0.0,0.01,0.03,0.0,E14000924,2017-06-09 04:52:03
"Enfield, Southgate",0.43,0.52,0.04,0.0,0.0,0.02,0.0,0.0,E14000692,2017-06-09 04:52:53
Bethnal Green and Bow,0.13,0.72,0.05,0.0,0.0,0.02,0.02,0.06,E14000555,2017-06-09 04:53:03
Pudsey,0.47,0.47,0.03,0.0,0.0,0.0,0.0,0.03,E14000886,2017-06-09 04:53:24
North East Bedfordshire,0.61,0.28,0.06,0.0,0.0,0.02,0.03,0.0,E14000841,2017-06-09 04:53:34
Milton Keynes North,0.48,0.44,0.04,0.0,0.0,0.02,0.02,0.0,E14000821,2017-06-09 04:53:43
Keighley,0.46,0.46,0.02,0.0,0.0,0.02,0.02,0.01,E14000766,2017-06-09 04:53:53
Wakefield,0.45,0.5,0.02,0.0,0.0,0.0,0.0,0.03,E14001009,2017-06-09 04:56:03
Henley,0.59,0.2,0.15,0.0,0.0,0.03,0.02,0.01,E14000742,2017-06-09 04:56:14
Argyll and Bute,0.33,0.13,0.18,0.36,0.0,0.0,0.0,0.0,S14000005,2017-06-09 04:57:04
Charnwood,0.6,0.31,0.04,0.0,0.0,0.02,0.03,0.0,E14000625,2017-06-09 04:57:34
Stockport,0.28,0.63,0.04,0.0,0.0,0.01,0.03,0.0,E14000969,2017-06-09 04:58:04
Hastings and Rye,0.47,0.46,0.03,0.0,0.0,0.0,0.03,0.01,E14000735,2017-06-09 04:58:34
York Central,0.3,0.65,0.05,0.0,0.0,0.0,0.0,0.0,E14001061,2017-06-09 04:59:54
Poplar and Limehouse,0.2,0.67,0.07,0.0,0.0,0.02,0.01,0.03,E14000882,2017-06-09 05:00:34
East Worthing and Shoreham,0.49,0.39,0.05,0.0,0.0,0.02,0.03,0.02,E14000682,2017-06-09 05:03:44
Croydon North,0.2,0.74,0.03,0.0,0.0,0.02,0.01,0.0,E14000655,2017-06-09 05:08:14
Thirsk and Malton,0.6,0.26,0.07,0.0,0.0,0.02,0.03,0.02,E14000993,2017-06-09 05:11:35
Loughborough,0.5,0.42,0.04,0.0,0.0,0.02,0.03,0.0,E14000797,2017-06-09 05:13:25
Arundel and South Downs,0.62,0.23,0.08,0.0,0.0,0.04,0.03,0.0,E14000534,2017-06-09 05:13:55
Stockton South,0.47,0.48,0.02,0.0,0.0,0.01,0.02,0.0,E14000971,2017-06-09 05:14:15
Winchester,0.52,0.12,0.34,0.0,0.0,0.02,0.01,-0.01,E14001041,2017-06-09 05:15:25
Bracknell,0.59,0.3,0.08,0.0,0.0,0.0,0.03,0.01,E14000586,2017-06-09 05:16:25
Stoke-on-Trent South,0.49,0.48,0.02,0.0,0.0,0.02,0.0,0.0,E14000974,2017-06-09 05:16:35
Gateshead,0.24,0.65,0.04,0.0,0.0,0.02,0.05,0.0,E14000709,2017-06-09 05:17:25
Newport West,0.39,0.52,0.02,0.0,0.02,0.01,0.02,0.0,W07000056,2017-06-09 05:18:05
Central Devon,0.54,0.27,0.12,0.0,0.0,0.03,0.02,0.02,E14000623,2017-06-09 05:18:55
Sevenoaks,0.64,0.21,0.08,0.0,0.0,0.03,0.04,0.0,E14000918,2017-06-09 05:19:25
Wansbeck,0.33,0.57,0.05,0.0,0.0,0.02,0.04,0.0,E14001014,2017-06-09 05:20:05
Newton Abbot,0.56,0.22,0.2,0.0,0.0,0.02,0.0,0.0,E14000835,2017-06-09 05:21:36
North Ayrshire and Arran,0.31,0.28,0.02,0.39,0.0,0.0,0.0,0.0,S14000048,2017-06-09 05:22:05
Swansea West,0.31,0.6,0.03,0.0,0.04,0.01,0.0,0.0,W07000047,2017-06-09 05:22:46
Walthamstow,0.14,0.81,0.03,0.0,0.0,0.02,0.0,0.0,E14001013,2017-06-09 05:23:06
Orkney and Shetland,0.09,0.11,0.49,0.29,0.0,0.0,0.01,0.01,S14000051,2017-06-09 05:23:15
Cities of London and Westminster,0.47,0.38,0.11,0.0,0.0,0.02,0.01,0.01,E14000639,2017-06-09 05:23:46
Blackpool South,0.43,0.5,0.02,0.0,0.0,0.01,0.04,0.0,E14000573,2017-06-09 05:24:15
Luton North,0.33,0.64,0.02,0.0,0.0,0.01,0.0,0.0,E14000800,2017-06-09 05:26:06
Islington South and Finsbury,0.21,0.63,0.12,0.0,0.0,0.02,0.02,0.0,E14000764,2017-06-09 05:26:56
Horsham,0.6,0.22,0.12,0.0,0.0,0.03,0.02,0.01,E14000753,2017-06-09 05:27:06
City of Durham,0.3,0.55,0.1,0.0,0.0,0.02,0.02,0.01,E14000641,2017-06-09 05:27:26
Ilford North,0.4,0.58,0.02,0.0,0.0,0.0,0.0,0.01,E14000759,2017-06-09 05:27:56
Dunfermline and West Fife,0.25,0.34,0.06,0.36,0.0,0.0,0.0,0.0,S14000017,2017-06-09 05:28:06
Ipswich,0.46,0.47,0.02,0.0,0.0,0.02,0.03,0.0,E14000761,2017-06-09 05:28:26
Lanark and Hamilton East,0.32,0.32,0.02,0.33,0.0,0.0,0.01,0.0,S14000042,2017-06-09 05:28:56
Hemsworth,0.34,0.56,0.02,0.0,0.0,0.0,0.06,0.02,E14000740,2017-06-09 05:29:06
Leicester South,0.22,0.74,0.02,0.0,0.0,0.02,0.0,0.0,E14000783,2017-06-09 05:30:36
Hendon,0.48,0.46,0.04,0.0,0.0,0.01,0.01,0.0,E14000741,2017-06-09 05:30:46
Hove,0.32,0.64,0.02,0.0,0.0,0.02,0.0,0.0,E14000755,2017-06-09 05:32:16
Sheffield Central,0.13,0.71,0.05,0.0,0.0,0.08,0.02,0.01,E14000919,2017-06-09 05:33:56
North East Hampshire,0.66,0.17,0.12,0.0,0.0,0.03,0.02,0.01,E14000844,2017-06-09 05:35:56
Croydon South,0.54,0.36,0.06,0.0,0.0,0.02,0.02,0.0,E14000656,2017-06-09 05:36:16
Dumfries and Galloway,0.43,0.21,0.02,0.32,0.0,0.0,0.0,0.01,S14000013,2017-06-09 05:37:07
Gainsborough,0.62,0.29,0.07,0.0,0.0,0.02,0.0,0.0,E14000707,2017-06-09 05:37:27
Staffordshire Moorlands,0.58,0.34,0.03,0.0,0.0,0.01,0.0,0.04,E14000966,2017-06-09 05:38:07
Weston-Super-Mare,0.53,0.33,0.09,0.0,0.0,0.02,0.03,0.0,E14001038,2017-06-09 05:38:17
Hackney South and Shoreditch,0.11,0.79,0.06,0.0,0.0,0.03,0.0,0.01,E14000721,2017-06-09 05:38:27
Leeds East,0.31,0.61,0.02,0.0,0.0,0.01,0.04,0.01,E14000778,2017-06-09 05:38:47
Glasgow North West,0.18,0.36,0.04,0.42,0.0,0.0,0.0,0.0,S14000033,2017-06-09 05:39:07
Tottenham,0.12,0.82,0.03,0.0,0.0,0.03,0.01,0.0,E14001002,2017-06-09 05:41:07
Esher and Walton,0.59,0.2,0.17,0.0,0.0,0.02,0.02,0.01,E14000697,2017-06-09 05:41:47
Dulwich and West Norwood,0.2,0.7,0.08,0.0,0.0,0.02,0.0,0.0,E14000673,2017-06-09 05:42:27
Torridge and West Devon,0.56,0.22,0.18,0.0,0.0,0.03,0.0,0.01,E14001000,2017-06-09 05:42:47
Oxford West and Abingdon,0.42,0.13,0.44,0.0,0.0,0.0,0.01,0.0,E14000874,2017-06-09 05:42:57
Bermondsey and Old Southwark,0.13,0.53,0.31,0.0,0.0,0.01,0.01,0.0,E14000553,2017-06-09 05:44:37
Hexham,0.54,0.34,0.07,0.0,0.0,0.03,0.02,0.0,E14000746,2017-06-09 05:47:48
Hampstead and Kilburn,0.32,0.59,0.07,0.0,0.0,0.01,0.0,0.0,E14000727,2017-06-09 05:47:57
Basingstoke,0.53,0.36,0.06,0.0,0.0,0.02,0.03,0.0,E14000545,2017-06-09 05:49:47
Chipping Barnet,0.46,0.46,0.05,0.0,0.0,0.02,0.0,0.0,E14000636,2017-06-09 05:50:38
Edinburgh North and Leith,0.27,0.31,0.05,0.34,0.0,0.03,0.0,0.0,S14000023,2017-06-09 05:53:08
Portsmouth North,0.55,0.34,0.06,0.0,0.0,0.02,0.04,0.0,E14000883,2017-06-09 05:53:38
East Ham,0.13,0.83,0.01,0.0,0.0,0.01,0.01,0.01,E14000679,2017-06-09 05:53:58
"Southampton, Itchen",0.46,0.46,0.03,0.0,0.0,0.02,0.02,0.0,E14000955,2017-06-09 05:54:08
"Plymouth, Sutton and Devonport",0.4,0.53,0.02,0.0,0.0,0.01,0.03,0.0,E14000880,2017-06-09 05:54:28
Rutland and Melton,0.63,0.23,0.08,0.0,0.0,0.03,0.03,0.0,E14000909,2017-06-09 05:54:38
"Dumfriesshire, Clydesdale and Tweeddale",0.49,0.16,0.04,0.3,0.0,0.0,0.0,0.0,S14000014,2017-06-09 05:54:48
Banff and Buchan,0.48,0.1,0.04,0.39,0.0,0.0,0.0,0.0,S14000007,2017-06-09 05:54:58
Orpington,0.63,0.24,0.07,0.0,0.0,0.02,0.04,0.0,E14000872,2017-06-09 05:55:48
Cardiff West,0.3,0.57,0.03,0.0,0.1,0.0,0.02,0.0,W07000079,2017-06-09 05:56:08
Wyre and Preston North,0.58,0.35,0.05,0.0,0.0,0.02,0.0,0.0,E14001057,2017-06-09 05:57:38
Streatham,0.21,0.68,0.06,0.0,0.0,0.03,0.01,0.0,E14000978,2017-06-09 05:57:58
Hornsey and Wood Green,0.15,0.65,0.16,0.0,0.0,0.02,0.01,0.01,E14000752,2017-06-09 05:59:08
Reading West,0.49,0.43,0.06,0.0,0.0,0.02,0.0,0.0,E14000890,2017-06-09 05:59:48
Redditch,0.52,0.36,0.03,0.0,0.0,0.01,0.03,0.05,E14000892,2017-06-09 06:00:08
Hereford and South Herefordshire,0.54,0.24,0.07,0.0,0.0,0.02,0.02,0.11,E14000743,2017-06-09 06:00:28
South Staffordshire,0.7,0.25,0.03,0.0,0.0,0.02,0.0,0.0,E14000945,2017-06-09 06:01:29
Rother Valley,0.4,0.48,0.02,0.0,0.0,0.02,0.08,0.0,E14000903,2017-06-09 06:01:49
Ashton-under-Lyne,0.32,0.6,0.02,0.0,0.0,0.01,0.05,0.0,E14000537,2017-06-09 06:02:09
Batley and Spen,0.39,0.56,0.02,0.0,0.0,0.01,0.0,0.02,E14000548,2017-06-09 06:04:29
Bradford West,0.17,0.65,0.02,0.0,0.0,0.01,0.02,0.14,E14000589,2017-06-09 06:04:59
Devizes,0.63,0.21,0.09,0.0,0.0,0.03,0.03,0.0,E14000665,2017-06-09 06:05:09
"Brighton, Pavilion",0.19,0.27,0.0,0.0,0.0,0.52,0.01,0.01,E14000598,2017-06-09 06:05:19
Stourbridge,0.54,0.38,0.02,0.0,0.0,0.01,0.04,0.0,E14000976,2017-06-09 06:05:29
Livingston,0.24,0.33,0.03,0.4,0.0,0.0,0.0,0.0,S14000044,2017-06-09 06:06:09
Derby South,0.34,0.58,0.03,0.0,0.0,0.01,0.04,0.0,E14000663,2017-06-09 06:06:59
South West Norfolk,0.63,0.28,0.04,0.0,0.0,0.0,0.05,0.0,E14000952,2017-06-09 06:07:59
East Devon,0.48,0.11,0.02,0.0,0.0,0.0,0.02,0.36,E14000678,2017-06-09 06:08:19
Shipley,0.51,0.43,0.04,0.0,0.0,0.0,0.0,0.02,E14000925,2017-06-09 06:08:39
Beckenham,0.59,0.3,0.08,0.0,0.0,0.03,0.0,0.0,E14000551,2017-06-09 06:09:29
"Southampton, Test",0.34,0.59,0.04,0.0,0.0,0.0,0.0,0.03,E14000956,2017-06-09 06:10:09
Filton and Bradley Stoke,0.5,0.42,0.06,0.0,0.0,0.02,0.0,0.0,E14000702,2017-06-09 06:11:19
Stoke-on-Trent North,0.45,0.51,0.02,0.0,0.0,0.02,0.0,0.0,E14000973,2017-06-09 06:11:39
"Plymouth, Moor View",0.52,0.41,0.02,0.0,0.0,0.01,0.04,0.0,E14000879,2017-06-09 06:12:09
Calder Valley,0.46,0.45,0.03,0.0,0.0,0.01,0.02,0.02,E14000614,2017-06-09 06:12:29
Edmonton,0.23,0.72,0.02,0.0,0.0,0.01,0.02,0.0,E14000687,2017-06-09 06:12:49
Berwick-upon-Tweed,0.52,0.25,0.21,0.0,0.0,0.02,0.0,0.0,E14000554,2017-06-09 06:13:20
Stoke-on-Trent Central,0.4,0.52,0.02,0.0,0.0,0.01,0.05,0.01,E14000972,2017-06-09 06:14:30
Bosworth,0.57,0.24,0.17,0.0,0.0,0.02,0.0,0.0,E14000583,2017-06-09 06:18:20
Brentford and Isleworth,0.38,0.57,0.05,0.0,0.0,0.0,0.0,0.0,E14000593,2017-06-09 06:20:00
Ceredigion,0.18,0.2,0.29,0.0,0.29,0.01,0.02,0.0,W07000064,2017-06-09 06:20:50
Brentwood and Ongar,0.66,0.2,0.08,0.0,0.0,0.02,0.04,0.0,E14000594,2017-06-09 06:24:10
Bury St Edmunds,0.59,0.3,0.06,0.0,0.0,0.04,0.0,0.01,E14000613,2017-06-09 06:25:21
Chichester,0.6,0.22,0.11,0.0,0.0,0.03,0.03,0.0,E14000633,2017-06-09 06:26:20
Dewsbury,0.45,0.51,0.02,0.0,0.0,0.02,0.0,0.0,E14000666,2017-06-09 06:27:20
Truro and Falmouth,0.44,0.38,0.15,0.0,0.0,0.02,0.02,0.0,E14001003,2017-06-09 06:28:00
North East Fife,0.24,0.1,0.33,0.33,0.0,0.0,0.0,0.0,S14000049,2017-06-09 06:30:01
Gedling,0.43,0.52,0.02,0.0,0.0,0.01,0.02,0.0,E14000710,2017-06-09 06:30:41
"Liverpool, Wavertree",0.12,0.8,0.06,0.0,0.0,0.01,0.0,0.0,E14000795,2017-06-09 06:33:11
Maldon,0.68,0.21,0.04,0.0,0.0,0.02,0.04,0.01,E14000806,2017-06-09 06:34:31
North West Hampshire,0.62,0.24,0.1,0.0,0.0,0.02,0.02,0.0,E14000857,2017-06-09 06:35:51
Tewkesbury,0.6,0.22,0.14,0.0,0.0,0.03,0.02,0.0,E14000990,2017-06-09 06:36:51
Totnes,0.54,0.27,0.13,0.0,0.0,0.04,0.02,0.0,E14001001,2017-06-09 06:38:41
West Dorset,0.56,0.18,0.24,0.0,0.0,0.03,0.0,0.0,E14001031,2017-06-09 06:40:41
Paisley and Renfrewshire North,0.28,0.32,0.03,0.37,0.0,0.0,0.0,0.0,S14000052,2017-06-09 06:46:32
"Ealing, Southall",0.21,0.7,0.04,0.0,0.0,0.02,0.01,0.01,E14000676,2017-06-09 06:53:32
Richmond Park,0.45,0.09,0.45,0.0,0.0,0.0,0.01,0.0,E14000896,2017-06-09 07:08:44
Ashfield,0.42,0.43,0.02,0.0,0.0,0.01,0.04,0.09,E14000535,2017-06-09 07:09:24
Crawley,0.51,0.46,0.04,0.0,0.0,0.0,0.0,0.0,E14000652,2017-06-09 07:09:44
Newcastle-under-Lyme,0.48,0.48,0.04,0.0,0.0,0.0,0.0,0.0,E14000834,2017-06-09 07:10:04
Dudley North,0.46,0.46,0.01,0.0,0.0,0.01,0.06,0.0,E14000671,2017-06-09 07:13:54
St Ives,0.43,0.14,0.43,0.0,0.0,0.0,0.0,0.0,E14000964,2017-06-09 07:40:37
St Austell and Newquay,0.5,0.29,0.22,0.0,0.0,0.0,0.0,0.0,E14000961,2017-06-09 09:06:31
South East Cornwall,0.55,0.23,0.19,0.0,0.0,0.02,0.0,0.0,E14000938,2017-06-09 09:27:22
